기간,행정구역,미성년자,성인,노인,남성_인구,여성_인구,총인구수,미성년자_비율,성인_비율,노인_비율,남녀_성비
2020,강남구,95900,335394,107937,257999,281232,539231,17.78,62.2,20.02,91.74
2020,강동구,73711,279814,106445,226216,233754,459970,16.03,60.83,23.14,96.78
2020,강북구,37741,181061,89253,150143,157912,308055,12.25,58.78,28.97,95.08
2020,강서구,84254,363137,132794,280034,300151,580185,14.52,62.59,22.89,93.3
2020,관악구,50972,332452,111636,248339,246721,495060,10.3,67.15,22.55,100.66
2020,광진구,45503,225946,75233,167310,179372,346682,13.13,65.17,21.7,93.28
2020,구로구,58388,245095,100925,199673,204735,404408,14.44,60.61,24.96,97.53
2020,금천구,27217,145803,58713,117226,114507,231733,11.74,62.92,25.34,102.37
2020,노원구,86417,311990,124630,252383,270654,523037,16.52,59.65,23.83,93.25
2020,도봉구,44402,189960,90895,158620,166637,325257,13.65,58.4,27.95,95.19
2020,동대문구,44435,210398,88004,169769,173068,342837,12.96,61.37,25.67,98.09
2020,동작구,52385,245896,92939,189152,202068,391220,13.39,62.85,23.76,93.61
2020,마포구,53271,241640,76979,175150,196740,371890,14.32,64.98,20.7,89.03
2020,서대문구,43797,192319,76057,149360,162813,312173,14.03,61.61,24.36,91.74
2020,서초구,79180,258867,87079,203359,221767,425126,18.63,60.89,20.48,91.7
2020,성동구,40264,186216,67076,143387,150169,293556,13.72,63.43,22.85,95.48
2020,성북구,65967,266035,105151,210810,226343,437153,15.09,60.86,24.05,93.14
2020,송파구,109812,416574,141574,322299,345661,667960,16.44,62.37,21.19,93.24
2020,양천구,82424,273082,98745,222824,231427,454251,18.15,60.12,21.74,96.28
2020,영등포구,50114,241690,87676,187647,191833,379480,13.21,63.69,23.1,97.82
2020,용산구,29105,144322,56613,110722,119318,230040,12.65,62.74,24.61,92.8
2020,은평구,68380,289462,121993,230279,249556,479835,14.25,60.33,25.42,92.28
2020,종로구,18540,91049,39795,72635,76749,149384,12.41,60.95,26.64,94.64
2020,중구,13609,77406,34225,61222,64018,125240,10.87,61.81,27.33,95.63
2020,중랑구,49823,241647,103232,195165,199537,394702,12.62,61.22,26.15,97.81
