기간,행정구역,미성년자,청년,성인,노인,남성_인구,여성_인구,총인구수,미성년자_비율,청년_비율,성인_비율,노인_비율,남녀_성비
2018,강남구,100207,164159,342708,99449,259611,282753,542364,18.48,30.27,63.19,18.34,91.82
2018,강동구,71019,125445,265393,91161,211816,215757,427573,16.61,29.34,62.07,21.32,98.17
2018,강북구,44182,87288,192219,82763,156071,163093,319164,13.84,27.35,60.23,25.93,95.69
2018,강서구,96161,194095,379490,121298,290079,306870,596949,16.11,32.51,63.57,20.32,94.53
2018,관악구,59724,195488,338443,103790,252160,249797,501957,11.9,38.95,67.42,20.68,100.95
2018,광진구,52416,121703,234294,68849,172794,182765,355559,14.74,34.23,65.89,19.36,94.54
2018,구로구,64017,120717,249672,90808,200417,204080,404497,15.83,29.84,61.72,22.45,98.21
2018,금천구,31573,71802,149330,53014,118915,115002,233917,13.5,30.7,63.84,22.66,103.4
2018,노원구,98591,147747,330867,114294,263919,279833,543752,18.13,27.17,60.85,21.02,94.31
2018,도봉구,51883,91627,204372,83158,166160,173253,339413,15.29,27.0,60.21,24.5,95.91
2018,동대문구,49429,107078,216231,82392,173567,174485,348052,14.2,30.76,62.13,23.67,99.47
2018,동작구,58343,131277,251872,85988,192533,203670,396203,14.73,33.13,63.57,21.7,94.53
2018,마포구,58694,126524,244091,72292,178240,196837,375077,15.65,33.73,65.08,19.27,90.55
2018,서대문구,46693,93953,192629,70991,149569,160744,310313,15.05,30.28,62.08,22.88,93.05
2018,서초구,84399,126320,268430,81122,207868,226083,433951,19.45,29.11,61.86,18.69,91.94
2018,성동구,46046,100256,198936,63239,151359,156862,308221,14.94,32.53,64.54,20.52,96.49
2018,성북구,71409,125598,267204,97255,211904,223964,435868,16.38,28.82,61.3,22.31,94.62
2018,송파구,117093,209280,422822,126720,323526,343109,666635,17.56,31.39,63.43,19.01,94.29
2018,양천구,89893,124770,285393,88899,228634,235551,464185,19.37,26.88,61.48,19.15,97.06
2018,영등포구,52415,121754,235240,80123,183224,184554,367778,14.25,33.11,63.96,21.79,99.28
2018,용산구,31855,70800,144177,52967,110640,118359,228999,13.91,30.92,62.96,23.13,93.48
2018,은평구,76304,137179,295246,111647,233702,249495,483197,15.79,28.39,61.1,23.11,93.67
2018,종로구,20971,44996,94589,37505,74825,78240,153065,13.7,29.4,61.8,24.5,95.64
2018,중구,15290,39037,79029,31406,61947,63778,125725,12.16,31.05,62.86,24.98,97.13
2018,중랑구,56882,119667,253211,93116,200419,202790,403209,14.11,29.68,62.8,23.09,98.83
