구,거래금액(만원)/전용면적(㎡)
노원구,601.7186024712095
송파구,1203.052936861114
강서구,728.9633438033596
강남구,1702.4892729316782
강동구,858.3829295280291
구로구,595.3857495699317
성북구,629.7307665231507
양천구,811.3591336589354
도봉구,504.364746717644
서초구,1461.5510610637145
영등포구,845.0796022455261
성동구,1048.7986309588507
동대문구,693.1248692138759
마포구,989.618066392257
동작구,879.3554500840977
은평구,627.2513408699292
중랑구,541.1876860234047
관악구,642.2276792878034
서대문구,727.4308630712013
강북구,563.4393243359867
용산구,1198.8451760563216
광진구,946.4587963229038
금천구,516.0921035550207
중구,871.6071869932005
종로구,764.3377954349025
