자치구,년도,거래금액(만원)/전용면적(㎡),거래금액(만원)/1평,거래금액(만원)/국민평수(32평)
강남구,2017,1466.0823194668633,4846.552940458765,155089.69409468048
강동구,2017,746.5778891032561,2468.025987129208,78976.83158813465
강북구,2017,514.4329777499853,1700.6048213512352,54419.354283239525
강서구,2017,652.2719839442063,2156.2709404429984,69000.67009417595
관악구,2017,572.5300409284274,1892.6612213505816,60565.15908321861
광진구,2017,791.1224267329183,2615.2806514572803,83688.98084663297
구로구,2017,543.7846052312187,1797.6349912042845,57524.3197185371
금천구,2017,473.8227098981607,1566.356007040691,50123.39222530212
노원구,2017,541.1091222913199,1788.790419833811,57241.29343468195
도봉구,2017,468.8830988197137,1550.0267148317275,49600.85487461528
동대문구,2017,610.6085603296567,2018.5406196093743,64593.29982749998
동작구,2017,746.2936111113038,2467.0862252075817,78946.75920664262
마포구,2017,835.2820449299878,2761.26285489888,88360.41135676416
서대문구,2017,662.2876109994755,2189.380450127901,70060.17440409285
서초구,2017,1238.2164870485165,4093.27748963768,130984.87966840576
성동구,2017,829.1752296832893,2741.075036658573,87714.40117307432
성북구,2017,576.8901956710052,1907.0749554962745,61026.398575880776
송파구,2017,1029.9145237429177,3404.6759838714806,108949.63148388738
양천구,2017,777.9962031620389,2571.888178470021,82300.42171104068
영등포구,2017,717.650611866756,2372.398627949944,75916.75609439821
용산구,2017,1012.6406049236552,3347.572122147545,107122.30790872146
은평구,2017,562.8011306311405,1860.499535623465,59535.98513995088
종로구,2017,696.5950572358333,2302.79349128436,73689.3917210995
중구,2017,761.2215290699124,2516.434712476381,80525.91079924419
중랑구,2017,498.2549471529621,1647.123730474055,52707.95937516976
