,nwords,npos,nneg
0,1206,43,8
1,695,19,5
2,840,40,15
3,222,4,3
4,0,0,0
5,375,11,0
6,0,0,0
7,401,10,7
8,379,9,10
9,419,14,16
10,693,11,30
11,355,12,6
12,283,5,4
13,587,6,10
14,487,17,15
15,0,0,0
16,397,10,13
17,384,8,6
18,291,2,1
19,300,13,0
20,448,20,4
21,312,11,2
22,481,9,7
23,440,10,2
24,302,13,6
25,441,3,18
26,323,13,5
27,369,6,5
28,282,9,3
29,301,12,5
30,401,9,10
31,743,20,8
32,212,8,3
33,278,12,2
34,366,14,5
35,880,32,36
36,0,0,0
37,498,13,13
38,219,11,1
39,407,15,3
40,238,6,2
41,462,18,4
42,429,13,6
43,176,5,1
44,297,12,3
45,666,24,7
