,nwords,npos,nneg,score
0,488,9,15,49.18032786885246
1,371,5,3,21.563342318059302
2,1811,19,71,49.69630038652678
3,214,1,0,4.672897196261682
4,582,12,10,37.80068728522337
5,332,13,0,39.1566265060241
6,371,5,2,18.867924528301884
7,1195,11,56,56.06694560669456
8,0,0,0,
9,290,12,1,44.82758620689655
10,426,13,6,44.60093896713615
11,323,5,8,40.247678018575854
12,601,22,5,44.925124792013314
13,257,6,8,54.474708171206224
14,337,6,7,38.57566765578635
15,203,6,2,39.40886699507389
16,265,2,3,18.867924528301884
17,407,4,13,41.76904176904177
18,273,4,8,43.956043956043956
19,152,0,2,13.157894736842104
20,338,6,4,29.585798816568047
21,304,4,1,16.44736842105263
22,512,4,15,37.109375
23,599,9,2,18.363939899833056
24,261,4,0,15.32567049808429
25,383,5,1,15.665796344647518
26,197,2,0,10.15228426395939
27,357,5,1,16.80672268907563
28,343,7,14,61.224489795918366
29,130,2,0,15.384615384615385
30,731,21,6,36.935704514363884
31,320,12,1,40.625
32,237,1,1,8.438818565400844
33,361,12,5,47.091412742382275
34,184,1,0,5.434782608695652
35,293,11,0,37.54266211604096
36,284,9,5,49.29577464788732
37,286,6,12,62.93706293706294
38,206,1,2,14.563106796116505
39,465,14,9,49.46236559139785
40,371,11,0,29.649595687331537
41,427,9,8,39.81264637002342
42,285,7,4,38.59649122807018
43,139,3,0,21.58273381294964
44,632,19,7,41.13924050632911
45,169,1,1,11.834319526627219
46,783,22,21,54.91698595146871
47,272,6,1,25.735294117647058
48,317,11,1,37.85488958990536
49,847,24,11,41.32231404958678
50,397,5,7,30.226700251889167
51,473,16,8,50.7399577167019
52,315,5,2,22.22222222222222
53,674,5,20,37.0919881305638
54,870,11,13,27.586206896551722
55,392,6,10,40.816326530612244
56,95,0,4,42.10526315789473
57,433,9,5,32.33256351039261
58,665,13,15,42.10526315789473
59,365,7,6,35.61643835616438
60,306,1,10,35.947712418300654
61,299,6,6,40.13377926421405
62,462,6,8,30.303030303030305
63,115,0,3,26.08695652173913
64,647,7,3,15.45595054095827
65,280,3,1,14.285714285714285
66,587,10,5,25.55366269165247
67,594,26,4,50.505050505050505
68,146,1,0,6.8493150684931505
69,606,19,12,51.15511551155116
70,672,23,5,41.666666666666664
71,284,7,2,31.69014084507042
72,434,11,2,29.953917050691242
73,477,6,11,35.63941299790356
74,262,8,1,34.35114503816794
75,170,0,0,0.0
76,605,22,9,51.239669421487605
77,189,3,3,31.746031746031743
78,453,5,9,30.90507726269316
79,333,8,4,36.03603603603604
80,669,17,11,41.85351270553064
81,661,23,5,42.36006051437216
82,279,8,4,43.01075268817205
83,187,1,4,26.737967914438503
84,495,7,9,32.323232323232325
85,372,10,0,26.881720430107528
86,521,17,10,51.823416506717855
87,87,0,2,22.988505747126435
88,221,2,2,18.09954751131222
89,391,23,0,58.8235294117647
90,261,4,1,19.157088122605362
91,361,18,0,49.86149584487535
92,340,11,7,52.94117647058823
93,275,7,5,43.63636363636364
94,305,11,9,65.57377049180329
95,271,7,3,36.90036900369004
96,633,5,23,44.23380726698262
97,280,6,0,21.428571428571427
98,923,14,18,34.66955579631636
99,214,3,11,65.42056074766354
100,487,9,1,20.533880903490758
101,308,3,7,32.467532467532465
102,395,6,4,25.31645569620253
103,352,10,11,59.659090909090914
104,155,0,4,25.806451612903224
105,131,1,2,22.900763358778626
106,207,1,1,9.66183574879227
107,265,6,1,26.41509433962264
108,809,19,11,37.08281829419035
109,1976,12,24,18.218623481781375
110,525,10,5,28.57142857142857
111,665,13,6,28.57142857142857
112,528,15,13,53.03030303030303
113,552,16,0,28.985507246376812
114,659,11,7,27.314112291350533
115,263,2,2,15.209125475285171
0,0,0,0,
1,0,0,0,
0,0,0,0,
1,0,0,0,
0,643,28,0,43.54587869362364
1,122,1,4,40.983606557377044
2,127,2,3,39.37007874015748
3,278,6,2,28.77697841726619
4,239,1,1,8.368200836820083
