,nwords,npos,nneg,date
0,1206,43,8,20-Aug-19
1,695,19,5,11-Sep-19
2,840,40,15,16-Sep-19
3,222,4,3,09-Oct-19
4,0,0,0,01-Nov-19
5,375,11,0,17-Dec-19
6,0,0,0,01-Jan-20
7,401,10,7,03-Feb-20
8,379,9,10,23-Feb-20
9,419,14,16,25-Mar-20
10,693,11,30,23-Apr-20
11,355,12,6,23-May-20
12,283,5,4,15-May-20
13,587,6,10,05-May-20
14,487,17,15,19-Jun-20
15,0,0,0,01-Jul-20
16,397,10,13,29-Aug-20
17,384,8,6,23-Sep-20
18,291,2,1,01-Sep-20
19,300,13,0,29-Oct-20
20,448,20,4,05-Nov-20
21,312,11,2,23-Dec-20
22,481,9,7,19-Dec-20
23,440,10,2,18-Dec-20
24,302,13,6,08-Dec-20
25,441,3,18,21-Dec-20
26,323,13,5,09-Jan-21
27,369,6,5,10-Feb-21
28,282,9,3,05-Feb-21
29,301,12,5,12-Mar-21
30,401,9,10,20-Mar-21
31,743,20,8,21-Mar-21
32,212,8,3,18-Mar-21
33,278,12,2,01-May-21
34,366,14,5,14-Apr-21
35,880,32,36,18-Apr-21
36,0,0,0,01-May-21
37,498,13,13,26-Jun-21
38,219,11,1,02-Jul-21
39,407,15,3,06-Jul-21
40,238,6,2,02-Jul-21
41,462,18,4,07-Jul-21
42,429,13,6,23-Jul-21
43,176,5,1,02-Jul-21
44,297,12,3,11-Aug-21
45,666,24,7,09-Aug-21
